BlkNumber;BlkRoute;BlkVehType;TrpNumber;TrpType;TrpRoute;TrpVia;TrpDirection;TrpStartPlace;TrpEndPlace;TrpStartTime;TrpEndTime;TrpDistance;TrpDuration;TrpEndLay;TrpExtraLay
02-janv;T3;;7334;REG;T3;2;DIR2;HANT_d;CASPOR;21:24:00;22:08:54;13.470;00:44:54;00:00:00;00:00:00
10-févr;T3;;7336;REG;T3;2;DIR2;CIDJ_d;CASPOR;20:13:31;20:44:54;9.007;00:31:23;00:00:00;00:00:00
10-févr;T3;;7342;REG;T3;1;DIR1;CASPOR;HANT_a;20:51:00;21:35:54;13.470;00:44:54;00:00:00;00:00:00
08-janv;T3;;7338;REG;T3;2;DIR2;CIDJ_d;CASPOR;21:01:31;21:32:54;9.007;00:31:23;00:00:00;00:00:00
12-janv;T3;;7343;REG;T3;1;DIR1;CASPOR;HANT_a;21:15:00;21:59:54;13.470;00:44:54;00:00:00;00:00:00
06-janv;T3;;7045;REG;T3;1;DIR1;CASPOR;HANT_a;08:07:00;08:51:54;13.470;00:44:54;00:00:00;00:00:00
08-janv;T3;;5684;REG;T3;1;DIR1;CASPOR;HANT_a;21:39:00;22:23:54;13.470;00:44:54;00:00:00;00:00:00
10-févr;T3;;4701;DH;T3;o_1;DIR1;CASPOR;HANT_a;22:44:00;23:18:22;12.712;00:34:22;00:00:00;00:00:00
07-janv;T3;;4704;DH;T3;o_1;DIR1;CASPOR;HANT_a;22:51:00;23:25:22;12.712;00:34:22;00:00:00;00:00:00
12-janv;T3;;4705;DH;T3;o_1;DIR1;CASPOR;HANT_a;23:06:00;23:40:22;12.712;00:34:22;00:00:00;00:00:00
08-janv;T3;;4706;DH;T3;o_1;DIR1;CASPOR;HANT_a;23:22:00;23:56:22;12.712;00:34:22;00:00:00;00:00:00
12-janv;T3;;7337;REG;T3;2;DIR2;CIDJ_d;CASPOR;20:37:31;21:08:54;9.007;00:31:23;00:00:00;00:00:00
09-févr;T3;;7345;REG;T3;1;DIR1;CASPOR;CIDJ_a;21:03:00;21:34:20;9.007;00:31:20;00:00:00;00:00:00
10-févr;T3;;5700;REG;T3;2;DIR2;HANT_d;CASPOR;21:48:00;22:32:54;13.470;00:44:54;00:00:00;00:00:00
09-févr;T3;;7331;REG;T3;2;DIR2;HANT_d;CASPOR;20:12:00;20:56:54;13.470;00:44:54;00:00:00;00:00:00
11-janv;T3;;6193;REG;T3;2;DIR2;HANT_d;CASPOR;19:48:00;20:32:54;13.470;00:44:54;00:00:00;00:00:00
05-janv;T3;;7046;REG;T3;1;DIR1;CASPOR;HANT_a;08:15:00;08:59:54;13.470;00:44:54;00:00:00;00:00:00
04-janv;T3;;6187;REG;T3;2;DIR2;HANT_d;CASPOR;17:56:00;18:40:54;13.470;00:44:54;00:00:00;00:00:00
02-janv;T3;;6183;REG;T3;2;DIR2;HANT_d;CASPOR;16:52:00;17:36:54;13.470;00:44:54;00:00:00;00:00:00
01-févr;T3;;6181;REG;T3;2;DIR2;HANT_d;CASPOR;16:20:00;17:04:54;13.470;00:44:54;00:00:00;00:00:00
08-janv;T3;;6186;REG;T3;2;DIR2;HANT_d;CASPOR;17:40:00;18:24:54;13.470;00:44:54;00:00:00;00:00:00
11-janv;T3;;6182;REG;T3;2;DIR2;HANT_d;CASPOR;16:36:00;17:20:54;13.470;00:44:54;00:00:00;00:00:00
05-févr;T3;;6180;REG;T3;2;DIR2;HANT_d;CASPOR;16:04:00;16:48:54;13.470;00:44:54;00:00:00;00:00:00
10-févr;T3;;6178;REG;T3;2;DIR2;HANT_d;CASPOR;15:32:00;16:16:54;13.470;00:44:54;00:00:00;00:00:00
03-janv;T3;;6188;REG;T3;2;DIR2;HANT_d;CASPOR;18:12:00;18:56:54;13.470;00:44:54;00:00:00;00:00:00
12-janv;T3;;6179;REG;T3;2;DIR2;HANT_d;CASPOR;15:48:00;16:32:54;13.470;00:44:54;00:00:00;00:00:00
09-févr;T3;;6177;REG;T3;2;DIR2;HANT_d;CASPOR;15:16:00;16:00:54;13.470;00:44:54;00:00:00;00:00:00
08-janv;T3;;6192;REG;T3;2;DIR2;HANT_d;CASPOR;19:24:00;20:08:54;13.470;00:44:54;00:00:00;00:00:00
07-janv;T3;;6185;REG;T3;2;DIR2;HANT_d;CASPOR;17:24:00;18:08:54;13.470;00:44:54;00:00:00;00:00:00
03-janv;T3;;6175;REG;T3;2;DIR2;HANT_d;CASPOR;15:00:00;15:44:54;13.470;00:44:54;00:00:00;00:00:00
12-janv;T3;;6191;REG;T3;2;DIR2;HANT_d;CASPOR;19:00:00;19:44:54;13.470;00:44:54;00:00:00;00:00:00
10-févr;T3;;6190;REG;T3;2;DIR2;HANT_d;CASPOR;18:44:00;19:28:54;13.470;00:44:54;00:00:00;00:00:00
06-janv;T3;;6184;REG;T3;2;DIR2;HANT_d;CASPOR;17:08:00;17:52:54;13.470;00:44:54;00:00:00;00:00:00
01-janv;T3;;7048;REG;T3;1;DIR1;CASPOR;HANT_a;08:39:00;09:23:54;13.470;00:44:54;00:00:00;00:00:00
08-janv;T3;;6174;REG;T3;2;DIR2;HANT_d;CASPOR;14:36:00;15:20:54;13.470;00:44:54;00:00:00;00:00:00
09-févr;T3;;6189;REG;T3;2;DIR2;HANT_d;CASPOR;18:28:00;19:12:54;13.470;00:44:54;00:00:00;00:00:00
04-janv;T3;;6162;REG;T3;2;DIR2;HANT_d;CASPOR;09:48:00;10:32:54;13.470;00:44:54;00:00:00;00:00:00
03-janv;T3;;6167;REG;T3;2;DIR2;HANT_d;CASPOR;11:48:00;12:32:54;13.470;00:44:54;00:00:00;00:00:00
02-janv;T3;;6172;REG;T3;2;DIR2;HANT_d;CASPOR;13:48:00;14:32:54;13.470;00:44:54;00:00:00;00:00:00
